date,open,close,high,low,volume
2018/5/21,23.87,23.81,24.069,23.592,43266
2018/5/22,23.701,23.691,23.97,23.432,32100
2018/5/23,23.63,23.35,23.7,23.32,26356
2018/5/24,23.46,23.29,23.55,23.26,21509
2018/5/25,24.21,23.75,25,23.72,115681
2018/5/26,23.32,23.09,23.63,23.01,61616
2018/5/27,23.04,22.91,23.24,22.82,32026
2018/5/28,22.48,21.68,22.68,21.66,59913
2018/5/29,21.88,22.06,22.25,21.8,29562
